Bill_Id,Bill_Title,Bill_Type,Parliamentary_Year,Term,Standing_Committee,Sponsor_Count,Party_Diversity,Parties,Sponsors
"The Constitution (Amendment) Bill, 2017 (Amendment_5_14","The Constitution (Amendment) Bill, 2017 (Amendment in Article 160)
[Support]",Private,5,14,Not Applicable,64,1,MQM,Dr. Khalid Maqbool Siddiqui;Syed Waseem Hussain;S. A. Iqbal Qadri;Mehboob Alam;Abdul Waseem;Shaikh Salahuddin;Dr. Muhammad Farooq Sattar;Syed Ali Raza Abidi;Muhammad Muzammil Qureshi;Iqbal Muhammad Ali Khan;Kishwer Zehra;Dr. Fouzia Hameed;Saman Sultana Jafri;Dr. Nikhat Shakeel Khan;Sanjay Perwani;Muhammad Kamal Malik;Dr. Khalid Maqbool Siddiqui;Syed Waseem Hussain;S. A. Iqbal Qadri;Mehboob Alam;Abdul Waseem;Shaikh Salahuddin;Dr. Muhammad Farooq Sattar;Syed Ali Raza Abidi;Muhammad Muzammil Qureshi;Iqbal Muhammad Ali Khan;Kishwer Zehra;Dr. Fouzia Hameed;Saman Sultana Jafri;Dr. Nikhat Shakeel Khan;Sanjay Perwani;Muhammad Kamal Malik;Dr. Khalid Maqbool Siddiqui;Syed Waseem Hussain;S. A. Iqbal Qadri;Mehboob Alam;Abdul Waseem;Shaikh Salahuddin;Dr. Muhammad Farooq Sattar;Syed Ali Raza Abidi;Muhammad Muzammil Qureshi;Iqbal Muhammad Ali Khan;Kishwer Zehra;Dr. Fouzia Hameed;Saman Sultana Jafri;Dr. Nikhat Shakeel Khan;Sanjay Perwani;Muhammad Kamal Malik;Dr. Khalid Maqbool Siddiqui;Syed Waseem Hussain;S. A. Iqbal Qadri;Mehboob Alam;Abdul Waseem;Shaikh Salahuddin;Dr. Muhammad Farooq Sattar;Syed Ali Raza Abidi;Muhammad Muzammil Qureshi;Iqbal Muhammad Ali Khan;Kishwer Zehra;Dr. Fouzia Hameed;Saman Sultana Jafri;Dr. Nikhat Shakeel Khan;Sanjay Perwani;Muhammad Kamal Malik
"The Federal Universities (Amendment) Bill, 2019
[S_2_15","The Federal Universities (Amendment) Bill, 2019
[Support]",Private,2,15,Not Applicable,60,1,MQM,Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri
"The National Disaster Management (Amendment) Bill,_2_15","The National Disaster Management (Amendment) Bill, 2018
[Support]",Private,2,15,Not Applicable,60,1,MQM,Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri
"The Constitution (Amendment) Bill, 2018 (Articles _1_15","The Constitution (Amendment) Bill, 2018 (Articles 51 and 59)
[Support]",Private,1,15,Not Applicable,51,5,BAP;MQM;PML-N;PPPP;PTI,Tahira Aurangzeb;Syed Amin ul Haque;Khalid Hussain Magsi;Saleh Muhammad;Engineer Sabir Hussain;Iqbal Muhammad Ali Khan;Aftab Jehangir;Kishwer Zehra;Rana Muhammad Qasim Noon;Shaista Pervaiz;Malik Muhammad Aamir Dogar;Ali Khan Jadoon;Nafeesa Inayatullah Khan Khattak;Usama Qadri;Uzma Riaz;Ms. Nafisa Shah;Prince Muhammad Nawaz Allai;Tahira Aurangzeb;Syed Amin ul Haque;Khalid Hussain Magsi;Saleh Muhammad;Engineer Sabir Hussain;Iqbal Muhammad Ali Khan;Aftab Jehangir;Kishwer Zehra;Rana Muhammad Qasim Noon;Shaista Pervaiz;Malik Muhammad Aamir Dogar;Ali Khan Jadoon;Nafeesa Inayatullah Khan Khattak;Usama Qadri;Uzma Riaz;Ms. Nafisa Shah;Prince Muhammad Nawaz Allai;Tahira Aurangzeb;Syed Amin ul Haque;Khalid Hussain Magsi;Saleh Muhammad;Engineer Sabir Hussain;Iqbal Muhammad Ali Khan;Aftab Jehangir;Kishwer Zehra;Rana Muhammad Qasim Noon;Shaista Pervaiz;Malik Muhammad Aamir Dogar;Ali Khan Jadoon;Nafeesa Inayatullah Khan Khattak;Usama Qadri;Uzma Riaz;Ms. Nafisa Shah;Prince Muhammad Nawaz Allai
"The Pakistan Citizenship (Amendment) Bill, 2018
[S_5_14","The Pakistan Citizenship (Amendment) Bill, 2018
[Support]",Private,5,14,Not Applicable,44,2,MQM;PML-N,Syed Waseem Hussain;Syed Ayaz Ali Shah Sheerazi;S. A. Iqbal Qadri;Mehboob Alam;Abdul Waseem;Shaikh Salahuddin;Dr. Muhammad Farooq Sattar;Syed Ali Raza Abidi;Muhammad Muzammil Qureshi;Muhammad Ali Rashid;Sajid Ahmed;Dr. Fouzia Hameed;Dr. Nikhat Shakeel Khan;Bhawan Das;Muhammad Kamal Malik;Syed Waseem Hussain;Syed Ayaz Ali Shah Sheerazi;S. A. Iqbal Qadri;Mehboob Alam;Abdul Waseem;Shaikh Salahuddin;Dr. Muhammad Farooq Sattar;Syed Ali Raza Abidi;Muhammad Muzammil Qureshi;Muhammad Ali Rashid;Sajid Ahmed;Dr. Fouzia Hameed;Dr. Nikhat Shakeel Khan;Bhawan Das;Muhammad Kamal Malik;Syed Waseem Hussain;S. A. Iqbal Qadri;Mehboob Alam;Abdul Waseem;Shaikh Salahuddin;Dr. Muhammad Farooq Sattar;Syed Ali Raza Abidi;Muhammad Muzammil Qureshi;Muhammad Ali Rashid;Sajid Ahmed;Dr. Fouzia Hameed;Dr. Nikhat Shakeel Khan;Bhawan Das;Muhammad Kamal Malik
"The Exit from Pakistan (Control) (Amendment) Bill,_2_15","The Exit from Pakistan (Control) (Amendment) Bill, 2019
[Support]",Private,2,15,Not Applicable,36,1,PPPP,Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf
"The Banking Companies (Amendment) Bill, 2019
[Supp_2_15","The Banking Companies (Amendment) Bill, 2019
[Support]",Private,2,15,Not Applicable,36,1,PPPP,Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf
"The Criminal Laws (Amendment) Bill, 2022
[Support]_4_15","The Criminal Laws (Amendment) Bill, 2022
[Support]",Private,4,15,Not Applicable,36,3,PML-N;PPPP;PTI,Tahira Aurangzeb;Rao Muhammad Ajmal Khan;Asma Hadeed;Romina Khurshid Alam;Nooreen Farooq Khan;Fauzia Behram;Kiran Imran;Dr. Seemin Abdul Rehman Bokhari;Mrs. Shahida Rehmani;Tahira Aurangzeb;Rao Muhammad Ajmal Khan;Asma Hadeed;Romina Khurshid Alam;Fauzia Behram;Kiran Imran;Dr. Seemin Abdul Rehman Bokhari;Mrs. Shahida Rehmani;Tahira Aurangzeb;Rao Muhammad Ajmal Khan;Choudhary Faqir Ahmad;Asma Hadeed;Romina Khurshid Alam;Fauzia Behram;Kiran Imran;Dr. Seemin Abdul Rehman Bokhari;Mrs. Shahida Rehmani;Choudhary Faqir Ahmad;Tahira Aurangzeb;Rao Muhammad Ajmal Khan;Choudhary Faqir Ahmad;Asma Hadeed;Romina Khurshid Alam;Fauzia Behram;Kiran Imran;Dr. Seemin Abdul Rehman Bokhari;Mrs. Shahida Rehmani
"The Constitution (Amendment) Bill, 2018 (Articles _5_14","The Constitution (Amendment) Bill, 2018 (Articles 51 and 106)
[Support]",Private,5,14,Not Applicable,36,2,MQM;PML-N,Aslam Bodla;Dr. Hafeez Ur Rehman Khan;Dr. Khalid Maqbool Siddiqui;S. A. Iqbal Qadri;Shaikh Salahuddin;Tahira Aurangzeb;Parveen Masood Bhatti;Seema Mohiuddin Jameeli;Shahnaz Saleem Malik;Kishwer Zehra;Dr. Fouzia Hameed;Dr. Nikhat Shakeel Khan;Aslam Bodla;Dr. Hafeez Ur Rehman Khan;Dr. Khalid Maqbool Siddiqui;S. A. Iqbal Qadri;Shaikh Salahuddin;Tahira Aurangzeb;Parveen Masood Bhatti;Seema Mohiuddin Jameeli;Shahnaz Saleem Malik;Kishwer Zehra;Dr. Fouzia Hameed;Dr. Nikhat Shakeel Khan;Aslam Bodla;Dr. Hafeez Ur Rehman Khan;Dr. Khalid Maqbool Siddiqui;S. A. Iqbal Qadri;Shaikh Salahuddin;Tahira Aurangzeb;Parveen Masood Bhatti;Seema Mohiuddin Jameeli;Shahnaz Saleem Malik;Kishwer Zehra;Dr. Fouzia Hameed;Dr. Nikhat Shakeel Khan
"The Criminal Laws (Amendment) Bill, 2021
[Support]_4_15","The Criminal Laws (Amendment) Bill, 2021
[Support]",Private,4,15,Not Applicable,33,4,MMA;PML-N;PPPP;PTI,James Iqbal;Asma Hadeed;James Iqbal;Asma Hadeed;Nooreen Farooq Khan;James Iqbal;Sher Akbar Khan;Riaz Fatyana;Mehnaz Akber Aziz;Asma Hadeed;Naz Baloch;Sher Ali Arbab;Nooreen Farooq Khan;James Iqbal;Tahira Aurangzeb;Rao Muhammad Ajmal Khan;Asma Hadeed;Romina Khurshid Alam;Nooreen Farooq Khan;Fauzia Behram;Kiran Imran;Dr. Seemin Abdul Rehman Bokhari;Mrs. Shahida Rehmani;Tahira Aurangzeb;Rao Muhammad Ajmal Khan;Asma Hadeed;Romina Khurshid Alam;Nooreen Farooq Khan;Fauzia Behram;Kiran Imran;Dr. Seemin Abdul Rehman Bokhari;Mrs. Shahida Rehmani;Nooreen Farooq Khan
The Pakistan Standards and Quality Control Authori_5_14,"The Pakistan Standards and Quality Control Authority (Amendment) Bill, 2017
[Support]",Private,5,14,Not Applicable,32,1,MQM,Mohammad Salman Khan Baloch;Syed Ali Raza Abidi;Muhammad Muzammil Qureshi;Kishwer Zehra;Dr. Fouzia Hameed;Saman Sultana Jafri;Dr. Nikhat Shakeel Khan;Sanjay Perwani;Mohammad Salman Khan Baloch;Syed Ali Raza Abidi;Muhammad Muzammil Qureshi;Kishwer Zehra;Dr. Fouzia Hameed;Saman Sultana Jafri;Dr. Nikhat Shakeel Khan;Sanjay Perwani;Mohammad Salman Khan Baloch;Syed Ali Raza Abidi;Muhammad Muzammil Qureshi;Kishwer Zehra;Dr. Fouzia Hameed;Saman Sultana Jafri;Dr. Nikhat Shakeel Khan;Sanjay Perwani;Mohammad Salman Khan Baloch;Syed Ali Raza Abidi;Muhammad Muzammil Qureshi;Kishwer Zehra;Dr. Fouzia Hameed;Saman Sultana Jafri;Dr. Nikhat Shakeel Khan;Sanjay Perwani
"The Constitution (Twenty Fourth Amendment) Bill, 2_2_14","The Constitution (Twenty Fourth Amendment) Bill, 2014 (Amendment in Articles 51, 63 and 106)
[Support]",Private,2,14,Not Applicable,32,1,MQM,Syed Waseem Hussain;Mohammad Salman Khan Baloch;S. A. Iqbal Qadri;Mehboob Alam;Abdul Waseem;Shaikh Salahuddin;Muhammad Rehan Hashmi;Abdul Rashid Godil;Muhammad Muzammil Qureshi;Syed Asif Hasnain;Iqbal Muhammad Ali Khan;Sajid Ahmed;Kishwer Zehra;Saman Sultana Jafri;Dr. Nikhat Shakeel Khan;Sanjay Perwani;Syed Waseem Hussain;Mohammad Salman Khan Baloch;S. A. Iqbal Qadri;Mehboob Alam;Abdul Waseem;Shaikh Salahuddin;Muhammad Rehan Hashmi;Abdul Rashid Godil;Muhammad Muzammil Qureshi;Syed Asif Hasnain;Iqbal Muhammad Ali Khan;Sajid Ahmed;Kishwer Zehra;Saman Sultana Jafri;Dr. Nikhat Shakeel Khan;Sanjay Perwani
The National Emergency Measures to Quarantine and _2_15,"The National Emergency Measures to Quarantine and Quarantine Facilities for the Security of Pakistan Bill, 2020
[Support]",Private,2,15,Not Applicable,32,2,MQM;PTI,Raja Riaz Ahmad;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Muhammad Sana Ullah Khan Masti Khel;Muhammad Akram;Nafeesa Inayatullah Khan Khattak;Usama Qadri;Raja Riaz Ahmad;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Muhammad Sana Ullah Khan Masti Khel;Muhammad Akram;Nafeesa Inayatullah Khan Khattak;Usama Qadri;Raja Riaz Ahmad;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Muhammad Sana Ullah Khan Masti Khel;Muhammad Akram;Nafeesa Inayatullah Khan Khattak;Usama Qadri;Raja Riaz Ahmad;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Muhammad Sana Ullah Khan Masti Khel;Muhammad Akram;Nafeesa Inayatullah Khan Khattak;Usama Qadri
"The Governors Houses Conversion Bill, 2014
[Suppor_2_14","The Governors Houses Conversion Bill, 2014
[Support]",Private,2,14,Not Applicable,30,1,PTI,Imran Khattak;Ali Muhammad Khan;Aqibullah;Amirullah;Qaisar Jamal;Asad Umar;Imran Khan;Rai Hasan Nawaz Khan;Dr. Arif Alvi;Dr. Shireen Mehrunnisa Mazari;Imran Khattak;Ali Muhammad Khan;Aqibullah;Amirullah;Qaisar Jamal;Asad Umar;Imran Khan;Rai Hasan Nawaz Khan;Dr. Arif Alvi;Dr. Shireen Mehrunnisa Mazari;Imran Khattak;Ali Muhammad Khan;Aqibullah;Amirullah;Qaisar Jamal;Asad Umar;Imran Khan;Rai Hasan Nawaz Khan;Dr. Arif Alvi;Dr. Shireen Mehrunnisa Mazari
"The Code of Civil Procedure (Amendment) Bill, 2014_2_14","The Code of Civil Procedure (Amendment) Bill, 2014 (Substitution of section 89-A)
[Support]",Private,2,14,Not Applicable,30,1,PTI,Ali Muhammad Khan;Shehryar Afridi;Junaid Akbar;Shafqat Mehmood;Makhdoom Shah Mahmood Qureshi;Dr. Arif Alvi;Dr. Shireen Mehrunnisa Mazari;Munaza Hassan;Sajida Begum;Aaisha Gulalai;Ali Muhammad Khan;Shehryar Afridi;Junaid Akbar;Shafqat Mehmood;Makhdoom Shah Mahmood Qureshi;Dr. Arif Alvi;Dr. Shireen Mehrunnisa Mazari;Munaza Hassan;Sajida Begum;Aaisha Gulalai;Ali Muhammad Khan;Shehryar Afridi;Junaid Akbar;Shafqat Mehmood;Makhdoom Shah Mahmood Qureshi;Dr. Arif Alvi;Dr. Shireen Mehrunnisa Mazari;Munaza Hassan;Sajida Begum;Aaisha Gulalai
"The Constitution (Amendment) Bill, 2014 (Amendment_2_14","The Constitution (Amendment) Bill, 2014 (Amendment in Articles 51 and 106)
[Support]",Private,2,14,Not Applicable,26,5,MQM;PKMAP;PML-F;PML-N;PPPP,Umar Ayub Khan;Muhammad Raza Hayat Hiraj;Ghous Bux Khan Mahar;Dr. Azra Fazal Pecheho;Syed Qazim Ali Shah;Nawab Muhammad Yousuf Talpur;Imran Zafar Leghari;Abdul Waseem;Shaikh Salahuddin;Mehmood Khan Achakzai;Ms. Nafisa Shah;Dr. Ramesh Kumar Vankwani;Sanjay Perwani;Umar Ayub Khan;Muhammad Raza Hayat Hiraj;Ghous Bux Khan Mahar;Dr. Azra Fazal Pecheho;Syed Qazim Ali Shah;Nawab Muhammad Yousuf Talpur;Imran Zafar Leghari;Abdul Waseem;Shaikh Salahuddin;Mehmood Khan Achakzai;Ms. Nafisa Shah;Dr. Ramesh Kumar Vankwani;Sanjay Perwani
"The Anti-terrorism (Amendment) Bill, 2020
[Support_3_15","The Anti-terrorism (Amendment) Bill, 2020
[Support]",Private,3,15,Not Applicable,26,1,PML-N,Mohsin Shah Nawaz Ranjha;Rana Sana Ullah Khan;Khawaja Muhammad Asif;Khurram Dastgir Khan;Marriyum Aurangzeb;Shaza Fatima Khawaja;Sardar Ayaz Sadiq;Khawaja Saad Rafique;Shahid Khaqan Abbasi;Mohsin Shah Nawaz Ranjha;Rana Sana Ullah Khan;Khawaja Muhammad Asif;Khurram Dastgir Khan;Marriyum Aurangzeb;Shaza Fatima Khawaja;Sardar Ayaz Sadiq;Khawaja Saad Rafique;Shahid Khaqan Abbasi;Mohsin Shah Nawaz Ranjha;Rana Sana Ullah Khan;Khawaja Muhammad Asif;Khurram Dastgir Khan;Marriyum Aurangzeb;Shaza Fatima Khawaja;Sardar Ayaz Sadiq;Shahid Khaqan Abbasi
The Transplantation of Human Organs and Tissues (A_1_15,"The Transplantation of Human Organs and Tissues (Amendment) Bill, 2019
[Support]",Private,1,15,Not Applicable,25,3,MQM;PML-N;PTI,Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Mian Najibuddin Awaisi;Syed Fakhar Imam;Riaz Fatyana;Mian Najibuddin Awaisi;Syed Fakhar Imam;Riaz Fatyana;Mian Najibuddin Awaisi;Syed Fakhar Imam;Riaz Fatyana
The Pakistan Institute for Parliamentary Services _2_15,"The Pakistan Institute for Parliamentary Services (Amendment) Bill, 2019
[Support]",Private,2,15,Not Applicable,24,3,PML-N;PPPP;PTI,Syed Naveed Qamar;Mohsin Shah Nawaz Ranjha;Amjid Ali Khan;Nafeesa Inayatullah Khan Khattak;Syed Naveed Qamar;Mohsin Shah Nawaz Ranjha;Amjid Ali Khan;Nafeesa Inayatullah Khan Khattak;Syed Naveed Qamar;Mohsin Shah Nawaz Ranjha;Amjid Ali Khan;Nafeesa Inayatullah Khan Khattak;Syed Naveed Qamar;Mohsin Shah Nawaz Ranjha;Amjid Ali Khan;Nafeesa Inayatullah Khan Khattak;Syed Naveed Qamar;Mohsin Shah Nawaz Ranjha;Amjid Ali Khan;Nafeesa Inayatullah Khan Khattak;Syed Naveed Qamar;Mohsin Shah Nawaz Ranjha;Amjid Ali Khan;Nafeesa Inayatullah Khan Khattak
"The Trafficking of Persons (Prevention, Protection_2_15","The Trafficking of Persons (Prevention, Protection and Rehabilitation) Bill, 2019
[Support]",Private,2,15,Not Applicable,24,1,PTI,Haider Ali;Amjid Ali Khan;Sadaqat Ali Khan;Imran Khattak;Noor Alam Khan;Nafeesa Inayatullah Khan Khattak;Haider Ali;Amjid Ali Khan;Sadaqat Ali Khan;Imran Khattak;Noor Alam Khan;Nafeesa Inayatullah Khan Khattak;Haider Ali;Amjid Ali Khan;Sadaqat Ali Khan;Imran Khattak;Noor Alam Khan;Nafeesa Inayatullah Khan Khattak;Imran Khan;Haider Ali;Amjid Ali Khan;Sadaqat Ali Khan;Noor Alam Khan;Nafeesa Inayatullah Khan Khattak
"The National Accountability (Amendment) Bill, 2016_3_14","The National Accountability (Amendment) Bill, 2016
[Support]",Private,3,14,Not Applicable,24,3,MQM;PPPP;PTI,Imran Khattak;Dawar Khan Kundi;Murad Saeed;Makhdoom Shah Mahmood Qureshi;Imran Zafar Leghari;Dr. Arif Alvi;Dr. Shireen Mehrunnisa Mazari;Aaisha Gulalai;Dr. Khalid Maqbool Siddiqui;Syed Waseem Hussain;S. A. Iqbal Qadri;Mehboob Alam;Abdul Waseem;Shaikh Salahuddin;Sufyan Yousuf;Dr. Muhammad Farooq Sattar;Syed Asif Hasnain;Iqbal Muhammad Ali Khan;Kishwer Zehra;Dr. Fouzia Hameed;Saman Sultana Jafri;Dr. Nikhat Shakeel Khan;Kanwar Naveed Jamil;Muhammad Kamal Malik
"The Constitution (Amendment) Bill, 2017 (Amendment_5_14","The Constitution (Amendment) Bill, 2017 (Amendment in Article 198)
[Support]",Private,5,14,Not Applicable,24,2,MQM;PML-N,Abdul Waseem;Shaikh Salahuddin;Syed Ali Raza Abidi;Muhammad Muzammil Qureshi;Kishwer Zehra;Abdul Waseem;Shaikh Salahuddin;Syed Ali Raza Abidi;Muhammad Muzammil Qureshi;Kishwer Zehra;Abdul Waseem;Shaikh Salahuddin;Syed Ali Raza Abidi;Muhammad Muzammil Qureshi;Kishwer Zehra;Abdul Waseem;Shaikh Salahuddin;Syed Ali Raza Abidi;Muhammad Muzammil Qureshi;Kishwer Zehra;Surriya Asghar;Surriya Asghar;Surriya Asghar;Surriya Asghar
The National Commission on the Rights of Child (Am_2_15,"The National Commission on the Rights of Child (Amendment) Bill, 2020
[Support]",Private,2,15,Not Applicable,22,2,PML-N;PTI,Raja Khurram Shahzad Nawaz;Zille Huma;Ali Khan Jadoon;Mehnaz Akber Aziz;Asma Hadeed;Faheem Khan;Muhammad Ibrahim Khan;Zahra Wadood Fatemi;Atta Ullah;Nafeesa Inayatullah Khan Khattak;Nooreen Farooq Khan;Rahat Aman Ullah Bhatti;Samina Matloob;Uzma Riaz;Seema Mohiuddin Jameeli;Dr. Seemin Abdul Rehman Bokhari;Shunila Ruth;Shaheen Naz Saifullah;Ali Nawaz Awan;Nusrat Wahid;Nusrat Wahid;Nusrat Wahid
The Control of Narcotic Substances (Amendment) Bil_3_15,"The Control of Narcotic Substances (Amendment) Bill, 2020
[Support]",Private,3,15,Not Applicable,21,1,PML-N,Mohsin Shah Nawaz Ranjha;Rana Sana Ullah Khan;Khawaja Muhammad Asif;Khurram Dastgir Khan;Marriyum Aurangzeb;Khawaja Saad Rafique;Shahid Khaqan Abbasi;Mohsin Shah Nawaz Ranjha;Rana Sana Ullah Khan;Khawaja Muhammad Asif;Khurram Dastgir Khan;Marriyum Aurangzeb;Khawaja Saad Rafique;Shahid Khaqan Abbasi;Mohsin Shah Nawaz Ranjha;Rana Sana Ullah Khan;Khawaja Muhammad Asif;Khurram Dastgir Khan;Marriyum Aurangzeb;Khawaja Saad Rafique;Shahid Khaqan Abbasi
"The Customs (Amendment) Bill, 2020
[Support]_3_15","The Customs (Amendment) Bill, 2020
[Support]",Private,3,15,Not Applicable,21,1,PML-N,Mohsin Shah Nawaz Ranjha;Rana Sana Ullah Khan;Khawaja Muhammad Asif;Khurram Dastgir Khan;Marriyum Aurangzeb;Khawaja Saad Rafique;Shahid Khaqan Abbasi;Mohsin Shah Nawaz Ranjha;Rana Sana Ullah Khan;Khawaja Muhammad Asif;Khurram Dastgir Khan;Marriyum Aurangzeb;Khawaja Saad Rafique;Shahid Khaqan Abbasi;Mohsin Shah Nawaz Ranjha;Rana Sana Ullah Khan;Khawaja Muhammad Asif;Khurram Dastgir Khan;Marriyum Aurangzeb;Khawaja Saad Rafique;Shahid Khaqan Abbasi
"The Islamabad Water Conservation Bill, 2021
[Suppo_4_15","The Islamabad Water Conservation Bill, 2021
[Support]",Private,4,15,Not Applicable,20,2,PML;PTI,Raja Khurram Shahzad Nawaz;Asma Hadeed;Nafeesa Inayatullah Khan Khattak;Farrukh Khan;Ali Nawaz Awan;Raja Khurram Shahzad Nawaz;Asma Hadeed;Nafeesa Inayatullah Khan Khattak;Farrukh Khan;Ali Nawaz Awan;Raja Khurram Shahzad Nawaz;Asma Hadeed;Nafeesa Inayatullah Khan Khattak;Farrukh Khan;Ali Nawaz Awan;Raja Khurram Shahzad Nawaz;Asma Hadeed;Nafeesa Inayatullah Khan Khattak;Farrukh Khan;Ali Nawaz Awan
"The Code of Civil Procedure (Amendment) Bill, 2015_3_14","The Code of Civil Procedure (Amendment) Bill, 2015 (Substitution of section 89-A, Act V of 1908)
[Support]",Private,3,14,Not Applicable,20,2,PML-N;PTI,Hamid Ul Haq;Amirullah;Junaid Akbar;Asad Umar;Qaisar Ahmad Sheikh;Makhdoom Shah Mahmood Qureshi;Rai Hasan Nawaz Khan;Dr. Arif Alvi;Dr. Shireen Mehrunnisa Mazari;Munaza Hassan;Hamid Ul Haq;Amirullah;Junaid Akbar;Qaisar Jamal;Asad Umar;Makhdoom Shah Mahmood Qureshi;Rai Hasan Nawaz Khan;Dr. Arif Alvi;Dr. Shireen Mehrunnisa Mazari;Munaza Hassan
