Id,Label,Latest_Party,Party_Term_14,Party_Term_15,Party_Term_16,All_Parties,Party_Changes_Count,Party_Stable,Total_Bills,Government_Bills,Private_Bills,Parliamentary_Years_Count,Parliamentary_Years,Terms_Count,Terms,Committees_Count,Committees
Muhammad Jamal Ud Din,Muhammad Jamal Ud Din,MMA,JUI,MMA,,JUI;MMA,1,0,40,0,40,3,3;4;5,2,14;15,1,"Law, Justice and Human Rights"
Ali Muhammad Khan,Ali Muhammad Khan,PTI,PTI,PTI,,PTI,0,1,37,31,6,4,1;2;3;4,2,14;15,0,
Sajid Ahmed,Sajid Ahmed,MQM,MQM,,,MQM,0,1,37,0,37,5,1;2;3;4;5,1,14,3,"Interior and Narcotics Control;Law, Justice and Human Rights;Parliamentary Affairs"
Naeema Kishwar Khan,Naeema Kishwar Khan,JUI,JUI,,,JUI,0,1,37,0,37,5,1;2;3;4;5,1,14,1,"Law, Justice and Human Rights"
Shaukat Fayaz Ahmed Tarin,Shaukat Fayaz Ahmed Tarin,PTI,,PTI,,PTI,0,1,37,37,0,2,3;4,1,15,0,
Marriyum Aurangzeb,Marriyum Aurangzeb,PML-N,PML-N,PML-N,,PML-N,0,1,36,17,19,5,1;2;3;4;5,2,14;15,0,
Syed Amin ul Haque,Syed Amin ul Haque,MQM,,MQM,,MQM,0,1,36,4,32,3,1;2;4,1,15,0,
Tahira Aurangzeb,Tahira Aurangzeb,PML-N,PML-N,PML-N,,PML-N,0,1,36,0,36,4,1;3;4;5,2,14;15,2,Cabinet Secretariat;Interior
Mohsin Shah Nawaz Ranjha,Mohsin Shah Nawaz Ranjha,PML-N,,PML-N,,PML-N,0,1,35,0,35,2,2;3,1,15,0,
Noor Alam Khan,Noor Alam Khan,PTI,,PTI,JUIP,JUIP;PTI,1,0,35,0,35,3,1;2;4,2,15;16,1,Law and Justice
Sher Akbar Khan,Sher Akbar Khan,JI,JI,PTI,,JI;PTI,1,0,35,0,35,5,1;2;3;4;5,2,14;15,4,"Information, Broadcasting and National Heritage;Interior and Narcotics Control;Law, Justice and Human Rights;Religious Affairs and Inter-faith Harmony"
Surriya Asghar,Surriya Asghar,PML-N,PML-N,,,PML-N,0,1,35,0,35,3,1;4;5,1,14,1,Interior and Narcotics Control
Abdul Waseem,Abdul Waseem,MQM,MQM,,,MQM,0,1,34,0,34,5,1;2;3;4;5,1,14,3,"Cabinet Secretariat;Interior and Narcotics Control;Law, Justice and Human Rights"
Sanjay Perwani,Sanjay Perwani,MQM,MQM,,,MQM,0,1,34,0,34,5,1;2;3;4;5,1,14,1,"Law, Justice and Human Rights"
Dr. Azra Fazal Pecheho,Dr. Azra Fazal Pecheho,PPPP,PPPP,,,PPPP,0,1,34,0,34,3,1;2;4,1,14,4,"Cabinet Secretariat;Law, Justice and Human Rights;National Health Services, Regulations and Coordination;Parliamentary Affairs"
Asiya Azeem,Asiya Azeem,PTI,,PTI,,PTI,0,1,33,0,33,1,5,1,15,0,
Pervaiz Khattak,Pervaiz Khattak,PTI,,PTI,,PTI,0,1,32,32,0,3,2;3;4,1,15,1,Defence
Raja Pervez Ashraf,Raja Pervez Ashraf,PPPP,,PPPP,,PPPP,0,1,32,0,32,2,1;2,1,15,0,
Dr. Khalid Maqbool Siddiqui,Dr. Khalid Maqbool Siddiqui,MQM,MQM,MQM,MQM,MQM,0,1,31,5,26,5,1;2;3;4;5,3,14;15;16,3,Cabinet Secretariat;Interior and Narcotics Control;Law and Justice
Ch. Nisar Ali Khan,Ch. Nisar Ali Khan,PML-N,PML-N,,,PML-N,0,1,30,30,0,4,1;2;3;4,1,14,1,Interior and Narcotics Control
Rana Sana Ullah Khan,Rana Sana Ullah Khan,PML-N,,PML-N,,PML-N,0,1,29,8,21,4,1;2;3;5,1,15,0,
Nusrat Wahid,Nusrat Wahid,PTI,,PTI,,PTI,0,1,28,0,28,3,2;3;4,1,15,1,Interior and Narcotics Control
Shaista Pervaiz,Shaista Pervaiz,PML-N,PML-N,PML-N,PML-N,PML-N,0,1,28,0,28,5,1;2;3;4;5,3,14;15;16,4,"Interior and Narcotics Control;Law, Justice and Human Rights;National Health Services, Regulations and Coordination;Religious Affairs and Inter-faith Harmony"
Aisha Syed,Aisha Syed,JI,JI,,,JI,0,1,28,0,28,5,1;2;3;4;5,1,14,3,"Information, Broadcasting and National Heritage;Interior and Narcotics Control;Religious Affairs and Inter-faith Harmony"
Sheikh Rasheed Ahmad,Sheikh Rasheed Ahmad,AMLP,AMLP,AMLP,,AMLP,0,1,28,26,2,2,3;4,2,14;15,0,
Sufyan Yousuf,Sufyan Yousuf,MQM,MQM,,,MQM,0,1,27,0,27,4,1;2;3;4,1,14,4,"Cabinet Secretariat;Interior and Narcotics Control;Law, Justice and Human Rights;Parliamentary Affairs"
Murtaza Javed Abbasi,Murtaza Javed Abbasi,PML-N,,PML-N,,PML-N,0,1,27,24,3,3,1;4;5,1,15,1,Parliamentary Affairs
Syed Ali Raza Abidi,Syed Ali Raza Abidi,MQM,MQM,,,MQM,0,1,27,0,27,4,1;3;4;5,1,14,1,"Law, Justice and Human Rights"
Sahibzada Tariq Ullah,Sahibzada Tariq Ullah,JI,JI,,,JI,0,1,27,0,27,5,1;2;3;4;5,1,14,4,"Information, Broadcasting and National Heritage;Interior and Narcotics Control;Law, Justice and Human Rights;Religious Affairs and Inter-faith Harmony"
Syed Naveed Qammar,Syed Naveed Qammar,PPPP,PPPP,,,PPPP,0,1,26,0,26,2,2;5,1,14,0,
Sahib Zada Muhammad Yaqub,Sahib Zada Muhammad Yaqub,JI,JI,,,JI,0,1,26,0,26,5,1;2;3;4;5,1,14,3,"Information, Broadcasting and National Heritage;Interior and Narcotics Control;Religious Affairs and Inter-faith Harmony"
Khawaja Saad Rafique,Khawaja Saad Rafique,PML-N,,PML-N,,PML-N,0,1,25,10,15,4,2;3;4;5,1,15,0,
Salah Ud Din Ayubi,Salah Ud Din Ayubi,MMA,,MMA,,MMA,0,1,24,0,24,4,1;2;3;5,1,15,0,
Zahra Wadood Fatemi,Zahra Wadood Fatemi,PML-N,PML-N,PML-N,,PML-N,0,1,24,0,24,3,2;4;5,2,14;15,0,
Abdul Qadir Patel,Abdul Qadir Patel,PPPP,,PPPP,PPPP,PPPP,0,1,23,4,19,5,1;2;3;4;5,2,15;16,0,
Jam Abdul Karim Bijar,Jam Abdul Karim Bijar,PPPP,,PPPP,,PPPP,0,1,23,1,22,4,2;3;4;5,1,15,0,
Muhammad Baleegh-ur-Rehman,Muhammad Baleegh-ur-Rehman,PML-N,PML-N,,,PML-N,0,1,23,23,0,4,2;3;4;5,1,14,0,
Muhammad Hammad Azhar,Muhammad Hammad Azhar,PTI,,PTI,,PTI,0,1,23,23,0,4,1;2;3;4,1,15,1,Water and Power
Marvi Memon,Marvi Memon,PML-N,PML-N,,,PML-N,0,1,23,0,23,3,1;4;5,1,14,4,"Cabinet Secretariat;Interior and Narcotics Control;Law, Justice and Human Rights;Religious Affairs and Inter-faith Harmony"
Dr. Zulfiqar Ali Bhatti,Dr. Zulfiqar Ali Bhatti,PML-N,,PML-N,,PML-N,0,1,23,0,23,1,5,1,15,0,
Jamshaid Ahmad Dasti,Jamshaid Ahmad Dasti,IND,IND,,,IND,0,1,22,0,22,4,1;2;3;4,1,14,0,
Makhdoom Shah Mahmood Qureshi,Makhdoom Shah Mahmood Qureshi,PTI,PTI,PTI,,PTI,0,1,22,12,10,4,1;2;3;4,2,14;15,0,
Nooreen Farooq Khan,Nooreen Farooq Khan,PTI,,PTI,,PTI,0,1,22,0,22,3,2;3;4,1,15,0,
Mohammad Ayaz Soomro,Mohammad Ayaz Soomro,PPPP,PPPP,,,PPPP,0,1,22,0,22,4,1;2;3;4,1,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Noor-ul-Haq Qadri,Noor-ul-Haq Qadri,PTI,,PTI,,PTI,0,1,22,22,0,3,2;3;4,1,15,0,
Mehboob Alam,Mehboob Alam,MQM,MQM,,,MQM,0,1,21,0,21,5,1;2;3;4;5,1,14,1,"Law, Justice and Human Rights"
Syed Waseem Hussain,Syed Waseem Hussain,MQM,MQM,,,MQM,0,1,21,0,21,5,1;2;3;4;5,1,14,3,"Cabinet Secretariat;Interior and Narcotics Control;Law, Justice and Human Rights"
Asma Hadeed,Asma Hadeed,PTI,,PTI,,PTI,0,1,21,0,21,2,2;4,1,15,1,Interior
Syed Mohsin Raza Naqvi,Syed Mohsin Raza Naqvi,IND,,,IND,IND,0,1,21,21,0,1,1,1,16,0,
Wajiha Akram,Wajiha Akram,PTI,,PTI,,PTI,0,1,21,0,21,1,5,1,15,0,
Mehnaz Akber Aziz,Mehnaz Akber Aziz,PML-N,,PML-N,,PML-N,0,1,21,1,20,4,1;2;3;4,1,15,1,Law and Justice
Ahsan Iqbal,Ahsan Iqbal,PML-N,PML-N,PML-N,,PML-N,0,1,20,16,4,4,1;3;4;5,2,14;15,0,
Shahid Khaqan Abbasi,Shahid Khaqan Abbasi,PML-N,PML-N,PML-N,,PML-N,0,1,20,4,16,2,2;3,2,14;15,0,
Romina Khurshid Alam,Romina Khurshid Alam,PML-N,PML-N,PML-N,PML-N,PML-N,0,1,19,0,19,3,1;3;4,3,14;15;16,3,"Federal Education and Professional Training;Interior;Law, Justice and Human Rights"
Ali Nawaz Awan,Ali Nawaz Awan,PTI,,PTI,,PTI,0,1,19,0,19,4,1;2;3;4,1,15,0,
Mohammad Salman Khan Baloch,Mohammad Salman Khan Baloch,MQM,MQM,,,MQM,0,1,19,0,19,4,1;2;4;5,1,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Muhammad Aslam Khan,Muhammad Aslam Khan,PTI,,PTI,,PTI,0,1,19,0,19,2,3;4,1,15,2,"Information, Broadcasting and National Heritage;Interior and Narcotics Control"
Rana Muhammad Qasim Noon,Rana Muhammad Qasim Noon,PTI,PML-N,PTI,PML-N,PML-N;PTI,1,0,18,0,18,5,1;2;3;4;5,3,14;15;16,0,
Shahida Akhtar Ali,Shahida Akhtar Ali,JUI,JUI,MMA,,JUI;MMA,1,0,18,0,18,4,1;2;3;4,2,14;15,3,"Defence;Interior and Narcotics Control;Law, Justice and Human Rights"
Munaza Hassan,Munaza Hassan,PTI,PTI,PTI,IPP,IPP;PTI,1,0,18,0,18,3,1;2;3,3,14;15;16,3,"Cabinet Secretariat;Law, Justice and Human Rights;Parliamentary Affairs"
Ali Gohar Khan,Ali Gohar Khan,PML-N,,PML-N,,PML-N,0,1,17,0,17,3,3;4;5,1,15,0,
Mohammad Aslam Bhootani,Mohammad Aslam Bhootani,IND,,IND,,IND,0,1,17,0,17,2,4;5,1,15,0,
Sher Ali Arbab,Sher Ali Arbab,PTI,,PTI,,PTI,0,1,17,0,17,2,3;4,1,15,1,Interior and Narcotics Control
Faheem Khan,Faheem Khan,PTI,,PTI,,PTI,0,1,17,0,17,4,1;2;3;4,1,15,1,Interior and Narcotics Control
Dr. Muhammad Farooq Sattar,Dr. Muhammad Farooq Sattar,MQM,MQM,,MQM,MQM,0,1,16,0,16,4,1;3;4;5,2,14;16,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Aasiya Nasir,Aasiya Nasir,JUI,JUI,,,JUI,0,1,16,0,16,5,1;2;3;4;5,1,14,5,"Defence;Human Rights;Information Technology and Telecommunication;Interior and Narcotics Control;Law, Justice and Human Rights"
Faiz Ullah,Faiz Ullah,PTI,,PTI,,PTI,0,1,16,0,16,2,2;3,1,15,0,
Mrs. Mahreen Razaque Bhutto,Mrs. Mahreen Razaque Bhutto,PPPP,,PPPP,,PPPP,0,1,16,0,16,3,3;4;5,1,15,0,
Asiya Naz Tanoli,Asiya Naz Tanoli,PML-N,PML-N,,,PML-N,0,1,15,0,15,4,1;3;4;5,1,14,2,"Law, Justice and Human Rights;Religious Affairs and Inter-faith Harmony"
Samina Matloob,Samina Matloob,PML-N,,PML-N,,PML-N,0,1,15,0,15,2,2;5,1,15,0,
Rana Muhammad Afzal Khan,Rana Muhammad Afzal Khan,PML-N,PML-N,,,PML-N,0,1,15,15,0,1,5,1,14,0,
Sharmila Sahiba Faruqui Hashaam,Sharmila Sahiba Faruqui Hashaam,PPPP,,,PPPP,PPPP,0,1,15,0,15,1,1,1,16,0,
Raja Khurram Shahzad Nawaz,Raja Khurram Shahzad Nawaz,PTI,,PTI,,PTI,0,1,14,0,14,3,2;3;4,1,15,0,
Imran Khattak,Imran Khattak,PTI,PTI,PTI,,PTI,0,1,14,0,14,4,1;2;3;5,2,14;15,1,Parliamentary Affairs
Shahadat Awan,Shahadat Awan,PPPP,,PPPP,,PPPP,0,1,14,14,0,2,4;5,1,15,0,
Musadik Masood Malik,Musadik Masood Malik,IND,,IND,,IND,0,1,13,13,0,1,5,1,15,0,
Choudhary Faqir Ahmad,Choudhary Faqir Ahmad,PML-N,,PML-N,,PML-N,0,1,13,0,13,3,2;4;5,1,15,2,"Interior;National Health Services, Regulations and Coordination"
Maj. Retd. Tahir Iqbal,Maj. Retd. Tahir Iqbal,PML-N,PML-N,,,PML-N,0,1,13,0,13,2,1;4,1,14,2,Cabinet Secretariat;Religious Affairs and Inter-faith Harmony
Syed Asif Hasnain,Syed Asif Hasnain,MQM,MQM,,,MQM,0,1,12,0,12,4,1;2;3;4,1,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Malik Muhammad Aamir Dogar,Malik Muhammad Aamir Dogar,IND,IND,PTI,,IND;PTI,1,0,12,0,12,4,1;3;4;5,2,14;15,0,
Junaid Akbar,Junaid Akbar,PTI,PTI,PTI,,PTI,0,1,11,0,11,2,2;3,2,14;15,0,
Mrs. Belum Hasnain,Mrs. Belum Hasnain,PPPP,PPPP,,,PPPP,0,1,11,0,11,4,2;3;4;5,1,14,1,Cabinet Secretariat
Muhammad Sana Ullah Khan Masti Khel,Muhammad Sana Ullah Khan Masti Khel,PTI,,PTI,,PTI,0,1,11,0,11,3,1;2;3,1,15,0,
Ali Khan Jadoon,Ali Khan Jadoon,PTI,,PTI,,PTI,0,1,11,0,11,3,1;2;3,1,15,0,
Dr. Shazia Sobia,Dr. Shazia Sobia,PPPP,PPPP,PPPP,,PPPP,0,1,11,0,11,2,1;4,2,14;15,0,
Jai Parkash,Jai Parkash,PTI,,PTI,,PTI,0,1,11,0,11,2,3;4,1,15,1,Law and Justice
Rana Iradat Sharif Khan,Rana Iradat Sharif Khan,PML-N,,PML-N,,PML-N,0,1,11,0,11,2,1;4,1,15,1,Parliamentary Affairs
Dr. Arif Alvi,Dr. Arif Alvi,PTI,PTI,,,PTI,0,1,11,0,11,3,1;2;3,1,14,1,Parliamentary Affairs
Muhammad Rehan Hashmi,Muhammad Rehan Hashmi,MQM,MQM,,,MQM,0,1,10,0,10,2,1;2,1,14,3,"Cabinet Secretariat;Interior and Narcotics Control;Law, Justice and Human Rights"
Muhammad Azam Khan Swati,Muhammad Azam Khan Swati,PTI,,PTI,,PTI,0,1,10,9,1,3,1;2;3,1,15,0,
Sajid Hussain Turi,Sajid Hussain Turi,PPPP,IND,PPPP,,IND;PPPP,1,0,10,8,2,2,3;5,2,14;15,0,
Naveed Amir,Naveed Amir,PPPP,,,PPPP,PPPP,0,1,9,0,9,1,1,1,16,0,
Mr. Kamran Michael,Mr. Kamran Michael,PML-N,PML-N,,,PML-N,0,1,9,9,0,2,4;5,1,14,1,Human Rights
Abdul Rashid Godil,Abdul Rashid Godil,MQM,MQM,,,MQM,0,1,9,0,9,2,1;2,1,14,3,"Cabinet Secretariat;Interior and Narcotics Control;Law, Justice and Human Rights"
Muhammad Kamal Malik,Muhammad Kamal Malik,MQM,MQM,,,MQM,0,1,9,0,9,3,3;4;5,1,14,0,
Qaisar Ahmad Sheikh,Qaisar Ahmad Sheikh,PML-N,PML-N,PML-N,,PML-N,0,1,9,0,9,4,1;3;4;5,2,14;15,3,"Education;Interior and Narcotics Control;Law, Justice and Human Rights"
Aamer Mehmood Kiyani,Aamer Mehmood Kiyani,PTI,,PTI,,PTI,0,1,9,8,1,2,1;3,1,15,0,
Shandana Gulzar Khan,Shandana Gulzar Khan,PTI,,PTI,,PTI,0,1,9,0,9,2,2;4,1,15,2,Cabinet Secretariat;Interior and Narcotics Control
Rai Muhammad Murtaza Iqbal,Rai Muhammad Murtaza Iqbal,PTI,,PTI,,PTI,0,1,9,0,9,3,1;2;3,1,15,0,
Muhammad Mian Soomro,Muhammad Mian Soomro,PTI,,PTI,,PTI,0,1,9,9,0,2,2;3,1,15,0,
Ameer Zaman,Ameer Zaman,JUI,JUI,,,JUI,0,1,9,0,9,3,1;2;3,1,14,1,"Law, Justice and Human Rights"
Zubaida Jalal,Zubaida Jalal,BAP,,BAP,,BAP,0,1,9,6,3,3,1;3;5,1,15,0,
Mumtaz Ahmad Tarar,Mumtaz Ahmad Tarar,PML-N,PML-N,,,PML-N,0,1,9,8,1,2,3;5,1,14,0,
Sohail Sultan,Sohail Sultan,SIC,,,SIC,SIC,0,1,9,0,9,1,1,1,16,0,
Aftab Jehangir,Aftab Jehangir,PTI,,PTI,,PTI,0,1,8,0,8,1,1,1,15,0,
Muhammad Talha Mehmood,Muhammad Talha Mehmood,JUI-F,,JUI-F,,JUI-F,0,1,8,8,0,1,5,1,15,0,
Fauzia Behram,Fauzia Behram,PTI,,PTI,,PTI,0,1,8,0,8,2,2;4,1,15,1,Interior
Abdul Shakoor,Abdul Shakoor,MMA,,MMA,,MMA,0,1,8,5,3,4,1;2;3;5,1,15,0,
Siraj Muhammad Khan,Siraj Muhammad Khan,PTI,PTI,,,PTI,0,1,8,0,8,4,1;3;4;5,1,14,1,Interior and Narcotics Control
Abdul Qadir Baloch,Abdul Qadir Baloch,PML-N,PML-N,,,PML-N,0,1,8,8,0,2,4;5,1,14,2,Law and Justice;States and Frontier Regions
Dr. Seemin Abdul Rehman Bokhari,Dr. Seemin Abdul Rehman Bokhari,PTI,,PTI,,PTI,0,1,8,0,8,2,2;4,1,15,1,Interior
Ch. Tariq Bashir Cheema,Ch. Tariq Bashir Cheema,PML,,PML,,PML,0,1,8,8,0,3,1;2;5,1,15,0,
Seema Mohiuddin Jameeli,Seema Mohiuddin Jameeli,PML-N,PML-N,PML-N,,PML-N,0,1,7,0,7,4,1;2;4;5,2,14;15,1,Interior and Narcotics Control
Syed Hussain Tariq,Syed Hussain Tariq,PPPP,,PPPP,,PPPP,0,1,7,0,7,1,4,1,15,1,Law and Justice
Saira Afzal Tarar,Saira Afzal Tarar,PML-N,PML-N,,,PML-N,0,1,7,7,0,3,2;3;5,1,14,1,"National Health Services, Regulations and Coordination"
